text,sentiment
"The battery life on this phone is incredible lasts two full days easily",1
"Super fast delivery and the packaging was perfect no damage at all",1
"This laptop handles video editing and gaming without any lag love it",1
"Best noise cancelling headphones I have owned the sound quality is amazing",1
"The camera quality blew me away photos look professional even in low light",1
"Customer support resolved my issue within minutes very impressed",1
"Comfortable fit and great sound these earbuds are worth every penny",1
"The build quality feels premium and sturdy will definitely last long",1
"Setup was so easy took less than five minutes right out of the box",1
"This smartwatch tracks everything accurately and the display is gorgeous",1
"I have recommended this to all my friends and family truly outstanding product",1
"The software update made everything smoother and faster than before",1
"Value for money is unbeatable compared to other brands in this range",1
"The keyboard feels great to type on perfect for long work sessions",1
"Excellent color accuracy on this monitor ideal for graphic design work",1
"Fast charging is a game changer fully charged in under an hour",1
"The air purifier made a noticeable difference in my allergies within days",1
"This vacuum cleaner picks up everything even pet hair from carpets",1
"The blender is powerful and quiet makes perfect smoothies every time",1
"Great investment for my home office the ergonomic chair saved my back",1
"Really happy with the wireless range works perfectly from another room",1
"The tablet is lightweight and the screen is sharp for reading and videos",1
"Food stays fresh much longer in this container set very well designed",1
"The projector quality is cinema level for a fraction of the price",1
"My kids love this toy it is educational and keeps them engaged for hours",1
"The product stopped working after just three days complete waste of money",0
"Terrible quality the screen cracked on its own within a week",0
"Worst customer service experience they kept me on hold for two hours",0
"The shoes fell apart after wearing them only twice very disappointed",0
"Received a completely different item than what was shown in the listing",0
"The noise cancellation does not work at all can hear everything around me",0
"Overpriced for what you get there are much better options available",0
"The app keeps crashing every time I try to connect it to the device",0
"Packaging was damaged and the product inside was scratched and dented",0
"The fabric feels cheap and started pilling after the first wash",0
"Battery drains extremely fast barely lasts four hours with normal use",0
"The instructions were confusing and missing several important steps",0
"This blender leaked everywhere on the first use absolutely terrible design",0
"The wifi router drops connection constantly making it unusable for work",0
"Returned immediately the color was nothing like what was advertised",0
"The mattress is way too firm and uncomfortable gave me back pain",0
"Delivery took three weeks and the item arrived broken no refund offered",0
"The paint started chipping off after just one month of normal use",0
"Cheaply made product the buttons stopped responding within a week",0
"The fan makes a loud rattling noise cannot sleep with it running",0
"Very misleading product description does not match what was delivered",0
"The zipper broke on the first try clearly poor manufacturing quality",0
"Smells like chemicals even after airing it out for days not safe to use",0
"Had high expectations but this was a total letdown not worth the hype",0
"This coffee maker leaks from the bottom every single time I use it",0
"The charger overheats dangerously after just thirty minutes of charging",0
